,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82
"Manuel L. Quezon-November 25, 1935",0.06472352221923823,-0.07213491837880252,0.1386172287533224,0.10360306978419374,-0.0035121519202108114,0.027427259652963235,-0.12413755675105258,-0.11889507311243253,-0.020076924532790363,-0.018601469275211134,0.03340333448442272,-0.04899526631173532,0.018965129186093672,-0.0023874988321024404,-0.0014647675397032737,0.12862879173607872,0.06452438481654882,-0.061773411119401524,0.014168710432689134,0.09459466720511146,-0.15431619497650403,0.214975042405013,0.04310514394783792,0.4979702473580581,0.016417743952570278,0.14835296321249614,-0.1550016003536659,-0.2305960997140563,-0.16427707839041636,-0.17318701525147198,0.2685664331923719,-0.2671692161454798,0.062228188390072575,-0.04647780031671682,-0.19850577444828602,0.3036155395768114,0.03036228146756089,-0.23279136736673184,0.007598917577650593,0.07391154919801783,-0.06569553485583284,-0.0732903746211918,-0.06210875544674018,-0.07881281056113874,0.0002771379924285968,0.018347101196592358,0.032108762728863045,-0.10526771952066093,-0.01743311988411961,0.010009630993658697,0.06585298644392382,0.02855510645823009,0.03292235508058041,0.02889417258825366,-0.0401437367673228,-0.00648624712970009,0.037296909644035474,-0.03849419359598318,0.08529016937180883,-0.016581113756276297,-0.0676959340105524,0.006870650757857235,0.040768618980740905,-0.03415474687404161,0.05352500225304223,0.010183124754178801,0.03203592405862573,0.0069353197901972944,0.0513515010200264,0.04432969672018282,-0.039909229498909335,-0.014542705368815164,0.002384588259881607,0.027598327112188147,0.015552053142794425,0.013111975853301193,0.03074968756048717,0.03750650455963561,0.008091810395545778,0.02307499671216308,-6.270864433337749e-05,-0.004845672659292483,0.01195023133130701
"Manuel L. Quezon-June 16, 1936",0.15295752148341163,-0.16595130407195585,0.23674795877903948,0.11867306452093694,0.007646739542109872,0.038144701135495875,-0.2042734184837934,-0.17542262862228725,-0.0280360956117522,-0.036521674486961114,-0.008608483175495948,-0.056498338919878766,-0.0038347362867574386,-0.024702720233618823,0.04153165929335175,-0.150671826913096,-0.019074197138700056,-0.03276920239666836,0.03205370099153159,0.028802555846673336,0.004085062526863846,0.0349241053048986,0.031211605506252234,-0.017349573228531458,-0.04144157979373051,0.05344303082874324,0.02586280140303326,0.13937461224389572,-0.0036479488425138094,0.07910886509251389,-0.08153859323453841,-0.02234646116121438,0.13222420233871676,-0.07974665798121935,-3.694690711232526e-05,0.024695669691971664,0.025555921848506646,0.07226259821656271,-0.053109852289123675,0.08186713498211266,-0.024565744533842308,0.027233788406329593,0.07392362590557193,0.008530647923729859,-0.043656191886676125,-0.004319754485511939,-0.03986087965574111,-0.09253688369670006,0.03728251725717711,-0.03455969639819248,-0.012939458730103433,-0.16060757016489302,-0.05986875922241007,0.5313402914623317,0.006031153168463621,0.11507633827236698,-0.04544345056568321,0.2875452527799124,-0.08629433203136547,0.010628105913879802,0.2285618262151946,-0.28007400496945983,0.14313666739989636,0.034725584566387364,-0.01799538680194409,-0.04530677741677566,-0.11679911491232743,-0.07970118558093973,0.045201828159248815,-0.07858202568732915,-0.04027151157729864,-0.00829269167377685,-0.0006658874602901888,-0.01686495452290262,0.051972555411350034,-0.03877571543802334,0.01167542609809553,0.17620259485936096,-0.018665679511529264,-0.17103538855142653,0.000729774048320391,0.02517092155564992,-0.03423911061815431
"Manuel L. Quezon-October 18, 1937",0.15185572390973662,-0.19444079797330632,0.3337992002633822,0.15473044989710685,0.020092552857890186,-0.0008117669705122842,-0.10565126164952615,0.01146794270478345,0.0017862985263363584,0.10334374011907548,0.09860584185853671,0.09099423859354139,-0.007303832670511341,0.07468803111487568,-0.06267677707992647,0.3117194738141965,0.04013853205383593,0.09247203311340685,-0.03849072677578701,0.05239114416388702,-0.004863392484989136,-0.10745828113799404,-0.00988568630398157,0.09668186139720177,0.07830723570173415,-0.09039764877200131,0.11607603756062518,-0.007353356614151992,0.03002705354464878,0.09480481568205626,-0.12573081748170523,0.03264389106359633,-0.044218677304655785,0.021521660782885175,0.09039332988070878,-0.008082606523320159,0.09127093392764214,-0.055335809936932136,0.014258768944525227,0.028027197741870007,0.06578714822631691,-0.0333097942956235,0.03069843819184344,0.008375760776558317,-0.059743333372820805,-0.04600356159299658,-0.046025360406503665,0.05948400119877546,-0.02918713636035449,-0.026001344380902125,-0.04520153398833027,-0.019503143002410142,-0.06552552732441609,0.0023892658560806784,0.02116765802128939,0.04915591232926857,0.01760613297129577,0.036963129784701114,-0.03485929350055688,0.041365897361832424,0.015537235057802214,0.005784034014203008,-0.10397567496300263,0.13196190094505936,-0.1713717583204551,0.05575711462293555,-0.0027473572507715352,-0.03144880174436905,-0.05302609486307548,-0.2353296463865583,0.006765427386422156,-0.06224753054837161,0.07753303239245478,0.009567085771362642,-0.008565190528172801,-0.00978937458291544,0.07900176638495837,0.08018949456748868,0.06954460669598775,0.5935856753104282,0.08088271842319958,-0.05792992865457193,-0.001574380077297951
"Manuel L. Quezon-January 24, 1938",0.09857837441721365,-0.08300626445396204,0.13454426946013098,0.07937546410427228,0.015575413836128801,0.02439355897405892,-0.17667049602367021,-0.08731104232002214,0.029642619094729136,-0.0013663389869199734,0.014904019314260854,-0.06359073184103335,-0.013407405234441267,-0.025745927415051762,0.03334662997124453,-0.15480536255647553,0.06908618387830659,0.26486532602366725,-0.14872112730009218,-0.2419456961758365,0.22030362861268735,0.016062205239657148,-0.07885897674980201,0.1832168113884632,0.022218852557330988,-0.24003949226125815,0.15733830205992952,-0.277819226907024,0.012859824257359619,-0.1430991654927431,0.23603590826176216,0.04211385380490602,0.001137225178822723,-0.10764009217906977,0.06650846181915639,-0.142792429284331,-0.2067107451784429,0.06819046374467531,0.0482690161451152,-0.2460312882707308,0.23990803861772964,0.1746128821083229,0.037166597573617066,0.1566190147592093,-0.003186463115069815,0.061046969171050604,0.1213624453091682,0.16889135382951487,-0.027043324170825934,-0.0019667161536152025,-0.04582505169382965,0.049102759199299836,0.003843676717826881,0.046663706026474266,0.10731630878581752,-0.05904202803494126,0.06263023906407374,-0.013316079453835453,-0.036948814631280046,-0.05701621487054689,-0.02820375011380261,-0.010389498450366016,0.01944303006974045,-0.11666989881383183,0.026590994792764597,-0.1554530429880891,-0.05611072440004948,0.03403719902362549,0.09285108298603115,0.05022892642877627,-0.003747937061686588,0.03399554940990352,-0.027613855954086136,-0.008019494596524039,-0.001976701196787135,-0.07377475942440229,-0.005403906030139113,0.02253239592029374,-0.01730959725084666,-0.0003491230234321773,0.05839081519101099,0.007431566633225977,0.014213117022890806
"Manuel L. Quezon-January 24, 1939",0.16182938287652998,-0.20621927036098192,0.3045599084206571,0.1822575692163325,0.022271902687635757,0.026756767663983282,-0.25496775382408515,-0.1680218721407435,-0.00837456398534068,-0.05733964004993189,-0.011308701325980247,-0.06506324195897523,-0.01596438391210187,-0.003320886430288407,0.04105321079629473,0.04440543758690033,-0.0009028104070056197,-0.04009698513766192,-0.008720265396543572,-0.01116572497819373,-0.03098147470353544,0.0095306217974746,-0.020992115679846175,-0.04688544773191584,0.002806456061063209,0.0008943307429877273,0.03994823888960777,-0.033711485908966846,-0.01555551977929959,-0.007631521930381308,-0.03301626960728174,0.053605833633517945,-0.020694347991615392,0.03168142504246885,-0.013740575485093703,0.004358473447363025,0.02777803333022599,-0.01386305020506389,-0.0037372916631033958,-0.0048805438509340006,-0.013217283801758493,-0.03976638648598345,-0.02263586070165827,-0.013974172747335449,0.023689898667936735,-0.028722810777271394,-0.0060325921373925616,-0.06432653242023886,-0.01588597366441496,0.029383964387728927,0.01689623594155028,0.0676066488974384,-0.043553601968617316,-0.18833196057219814,0.041003018870992856,-0.022271177839885713,-0.008859483815037724,-0.046333774112045374,-0.04212051584284132,0.0012216699585061363,0.01743959333834552,0.10673090618122368,-0.23367777740956214,0.18145888262156645,-0.2280037504453336,-0.04038056858386819,-0.09416493869017076,0.00016733911173740052,-0.22573722441304753,-0.16189971861139296,0.08961001267662343,-0.06688433132692254,0.015288278684461318,-0.055149566273783285,-0.11252806935603693,0.0013555131687655016,-0.19840011887114872,-0.4062724179663417,-0.09830087383915731,-0.3596079568939783,-0.07738067772289699,0.0917463294478299,-0.03743580205812735
"Manuel L. Quezon-January 22, 1940",0.14687507871004588,-0.19268327731880755,0.2871164955253107,0.17609764941757178,0.019729750865014533,0.03233689369014179,-0.2510696902258649,-0.14461340976418957,-0.036352484672221005,-0.11418078314646522,-0.04649449596990976,-0.06397052887220636,0.008326244895564522,-0.029504350191710056,0.023972666371506385,-0.08222009207695231,-0.026162446179758093,-0.08515735863617546,0.03672534639501628,0.012188996547190386,-0.03974534857917099,-0.03238622975213913,0.0021775370855149304,-0.2100806172479961,0.01938418646975554,0.049398256671156625,-0.011089600093817096,0.059656917393745526,0.021145611619321103,0.011463935273182742,-0.02036030292266001,0.08289664069652615,-0.04620000378795566,0.09226370562909776,0.024361690818851107,-0.00894548863374097,0.034525397729187106,0.0443531708051688,0.03787100788498333,0.01788654398259904,-0.06471499664915972,-9.052864456256254e-05,-0.04462268976591601,-0.02344804486468981,0.09440542350222428,-0.03756249358444313,-0.016389696055667036,0.037109466913427404,0.01063109674838778,0.005821802285723628,0.009275251059473024,0.06845425221024197,0.0564348333077954,-0.2912639977245769,-0.012517211427005296,-0.07778959360137158,-0.011303643549867246,-0.1654264251183928,0.01679977550985606,0.011514984875851302,-0.15436879334021175,0.11637764981969083,-0.06055653051736963,-0.007491692142480304,0.06362551018401565,0.031113037162179284,0.06633843856550292,0.0034316431573871344,0.06585630867103506,0.10657039083724422,-0.028431552609700338,0.06893876573612893,-0.022026237253831835,0.026899420176495218,0.11654082695263478,-0.03635779874469664,0.2545409665470557,0.547511518526516,0.07062296430179983,-0.14743722593256295,0.033443967542739234,0.0025995593054895538,0.02700219633159666
"Manuel L. Quezon-January 31, 1941",0.20933471961108915,-0.21837470569419765,0.24882095065825874,0.1128025007642925,0.012775897384333513,0.03403447206921446,-0.19481734076568324,-0.09406213130129454,-0.04157056277627618,-0.0995601237955859,-0.0927111372164338,-0.013898143805885358,0.03237977722629861,-0.028254529179070627,0.046228711102345665,-0.18140251174893965,-0.03800257110154834,-0.0917150739907683,0.02677463862936621,0.019443617086651006,-0.006444535162626265,-0.01407200437809988,0.04700945920608849,-0.19187412257189326,-0.0090935125809321,0.0772801141287584,-0.04887950771788536,0.1148454861361883,0.030066254691636884,0.008260002569065545,-0.04126538048499185,0.032684865200779796,-0.003732730336996593,6.662439706876093e-05,-0.03915962128183586,-0.007049108382409751,-0.02908483481232045,0.014868253046959563,-0.0199782595167577,0.03818046923168449,-0.028767805728385987,0.03309113695717242,0.00534804469403199,-0.023218053039853984,0.00513251125750327,0.02277842898314923,-0.00995737834026279,0.01737104958077823,0.03556099724043978,-0.009328813023914296,-0.016586010747754596,-0.006757137570212137,0.055603518018177436,-0.02630994030466573,-0.059700583854569333,-0.029737195837792333,0.03370681195360742,-0.06572451955403368,0.0528792633132068,0.017540944195015826,-0.015022182133792337,-0.021791142816462335,0.22138564931775143,-0.24163961758101685,0.3118827074198739,0.03264329387559935,0.13381856552264382,0.055474018163009356,0.08471789130663149,0.223993751624942,-0.034763857149538925,0.055539825499501136,-0.012015447104200215,0.04411704103265256,-0.033229466006923565,0.09738454018478555,-0.1382098263842736,-0.423141133179236,0.01139974445185431,0.32848158902924846,-0.019949747129252595,-0.1344152638085631,-0.0025879802057924652
"Sergio Osmeña-June 9, 1945",0.1191108613860553,-0.12987537545593517,0.23910805209327132,0.06567392750274967,0.017833610016978734,-0.030550608563951358,0.08909752469422433,0.1870034756742863,0.02213096333398675,0.20604935623931464,0.12935847915576726,0.21376654830488342,0.02692608850693976,0.12521021404990004,-0.0900196362030681,0.40220197928359985,0.07386081625558465,0.1216598595623998,-0.03608261367797322,0.09068060732356348,0.0006418302344623322,-0.12335567799391227,0.032521851611403335,0.09977881684657315,0.07224047135431284,-0.07903048746079312,0.06999378759395157,0.010990720575173857,0.03593645844872211,0.11198880682760705,-0.1385246550950336,0.027729505069440906,-0.03359792054429788,0.006360809263236125,0.060552633741920055,-0.02940120404324788,0.09245842195034017,-0.11702710767030515,-0.0576994729765644,9.373083970538548e-05,0.03603027965661935,-0.009432395903615222,0.06321251776898085,0.012631266398236684,-0.09434998906822722,0.0013003418133524453,-0.0308432349529499,0.18498717259966754,-0.028841204750173315,-0.0016905643104651363,-0.0598076826049725,-0.04281470719619966,-0.010283521598903575,0.07727331817832994,-0.016969472497867268,0.04814278658647762,0.08102545301458557,-0.039896923673943305,0.03325726961904641,0.07221788739592287,-0.05629649768516002,0.003067361970747516,0.15496792590287709,-0.15387767060267438,0.15135397690052668,0.09075567860098344,0.13855761811557005,0.052288959618937446,0.07594502960109159,0.23154991841880365,0.0061317122082036705,0.0419114587503181,-0.11505583179893007,0.03579575413497069,0.01705712981778999,-0.03327979278132099,-0.07202221016655708,-0.021710353123892828,-0.051440690127410815,-0.4050349451822086,-0.04014227444124553,0.006963328801250982,-0.002182091297929865
"Manuel Roxas-June 3, 1946",0.20968377910780545,-0.1942584237675449,0.2450864434610502,-0.01810349638366937,0.02847551912535244,-0.04950527198593214,0.2592145441140528,0.2991773339927081,0.005337665855354162,0.15119964499957156,0.027580117384030402,0.09392792769920723,-0.057198943161968475,-0.021568836936261524,-0.01008187377078801,0.06953647271793627,-0.0865752413792532,-0.02685781142129153,0.06961095191701666,-0.0989063220817129,0.04229461336847999,0.054564876324918854,-0.05619184048964661,-0.07729227030949173,-0.1176082925639194,0.09418084640561294,-0.033195518008220494,0.012704969798132982,-0.017822688328915277,-0.047661382310268334,0.12932852160757308,-0.02436335545032384,0.021803569491329514,-0.059950116770165936,-0.09251615618278479,-0.0078042035590757805,-0.06065378431667691,0.11098269298596482,0.017487566819572857,-0.03641677402088313,-0.022831347927906517,0.026547229791772712,-0.038242136318225074,-0.04478017319943036,0.05738556122827517,0.011812391518532868,-0.012543952503267513,-0.1305260967944663,0.05179332146779781,-0.005799694701608868,0.07405542883385215,0.043207969335349684,0.06941132051791031,-0.06449597689870469,0.061888719973018584,-0.050394835681803446,-0.07741230853262399,0.05615639047151369,0.010188285030739286,-0.09796670643288835,0.08171533772879175,0.057382923738306925,-0.007471905651634369,0.0433141557740211,0.0001394629616841162,-0.2591823089609436,-0.09753947909165325,-0.060282744723453276,0.046517765081402374,-0.10985218423723458,-0.09173342981079793,-0.03240644871642304,-0.025582184992449658,-0.044013801814885116,0.11771589202124372,0.007961231047692696,0.07889446407323071,-0.020567292210551473,-0.05161167747140392,-0.08258868846078116,-0.028217813998530527,-0.570975088800515,0.03002389118851915
"Manuel Roxas-January 27, 1947",0.24789179439695436,-0.20922949977307942,0.25071330229888894,-0.0023221799639562184,0.02975391726827923,-0.046758550290567996,0.25417605190399595,0.3273273263474318,-0.02098018903881072,0.10940614803034773,-0.01483350415727613,0.0782342425868756,-0.008631805413389223,-0.018367796261356147,-0.0006139826550172012,-0.003799739432683187,-0.06399683666962765,-0.012332439704672921,0.05669242713267441,-0.06997659314088124,0.025227699587696325,0.04357116552838042,-0.03545209521915329,-0.06378345313583099,-0.10042968417105087,0.06350515497427375,-0.03668505153700664,0.006413474593342242,-0.04400417340204695,-0.05659403851301008,0.06598190799730476,-0.00846370142571752,0.026511838394865022,-0.05542841447633123,-0.0824833906227734,-0.011355423155874221,-0.052839234703825885,0.08896078205710542,0.02886186845387813,-0.0008704665798275091,-0.023214286901843625,0.040470825233243364,-0.030291409701875733,-0.0309495985629526,0.027582135337063832,0.016741749676937576,0.018126948035895724,-0.12606083258556686,0.06987653628200616,0.010026870638402692,0.05049009243622408,0.028552146762962038,0.04532397955883539,-0.05771830150880653,0.018534131199283616,-0.07544469134007888,-0.06954483981472993,0.006329864558761857,0.0126401843330622,-0.09109063000039531,0.04986912132434088,0.004538645592749406,0.06813389875798338,-0.044804864850223516,0.06024242648467864,-0.08582789055957399,-0.03519451861554989,-0.07379375525950409,0.0019202406739043895,-0.030731297158428893,-0.050288342149793414,0.02403328607453943,0.025786472661392296,-0.03304970909692691,0.0070289253494592975,0.01301301440919996,0.01309226478322183,0.00036282134345102065,0.028410987730414845,0.0878582962609894,0.07097692062717836,0.6823647115743162,-0.06112027208246661
